,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
219,Noble's Kitchen & Beer Hall,7.0,4918.826833029544,1,0,0,0,0,0,0,0,0
220,Dale View Biscuits and Beer,9.0,6338.445407973259,1,0,0,0,1,0,0,0,0
221,Sam Adams,8.0,4128.619938438436,0,0,1,0,0,0,0,0,0
222,Cafe Landwer,9.0,639.8772058594926,1,1,0,0,0,0,0,0,0
223,Chipotle Mexican Grill,2.0,7553.358967859666,1,1,0,0,0,0,1,0,0
224,El Palacio De Los Jugos,8.0,6724.165761688057,1,0,0,0,0,0,0,0,0
225,Moon Tree Sushi And Tapas,9.0,1480.2192513700454,1,1,0,0,0,0,0,0,0
226,Slim & Husky's Pizza Beeria,9.0,14610.462678810252,1,1,0,0,0,0,0,1,0
227,Paradise Biriyani Pointe,7.0,10885.171355646984,1,1,0,0,0,0,0,0,0
228,DiBella's Subs,7.0,9123.08727703602,1,1,0,0,0,0,0,0,0
229,Xochimex Cantina Grill,8.0,2921.3503649206655,1,1,0,0,0,0,0,0,0
230,Angela-Mia Pizza,8.0,11385.148036323451,1,0,0,0,0,0,0,1,0
231,Johnny Mo's Pizzeria,9.0,3092.4122977589504,1,1,0,0,0,0,0,1,0
232,Cinco Cantina,7.0,1436.0637754568963,0,0,0,0,0,0,0,0,0
233,Serbian Village Restaurant,9.0,5975.137858742256,0,0,0,0,0,0,0,0,0
234,The Davis General,9.0,40059.35118344689,0,0,0,0,0,0,0,0,0
235,Amarin Cafe,8.0,4170.821017931773,1,0,0,0,0,0,0,0,0
236,Sakoon Indian Fusion Restaurant,8.0,1953.6145287211712,1,1,0,0,0,0,0,0,0
237,Barrio,8.0,4309.48450384502,1,1,0,0,0,0,0,0,0
238,bāo•logy,8.0,6953.2463328707745,1,0,0,0,0,0,0,0,0
239,Ma's Honey,6.0,12250.352052694512,1,1,0,0,0,0,0,0,0
240,Fiya Chicken,8.0,4178.24435126948,1,1,0,0,0,0,0,0,0
241,Downtown Bakery Cocina Mexicana,8.0,2303.3970970839314,1,1,0,0,0,0,0,0,0
242,Conch It Up Soul Food,7.0,9551.796019751524,1,0,0,0,0,0,0,0,0
243,Fired Up Taco Truck,8.0,6605.2034929739975,0,0,0,0,0,0,0,0,0
244,Be More Thai Restaurant,10.0,3488.3790038053276,1,1,0,0,0,0,0,0,0
245,Legal Sea Foods - Boston,7.0,4471.883676695281,0,0,0,0,0,0,0,0,0
246,Scotti's Italian Eatery,9.0,15914.929420642276,1,0,0,0,0,0,0,0,0
247,SoBro Sports Bar & Grille,6.0,2176.039755834156,1,0,0,0,0,0,0,0,0
248,Por'ketta,9.0,8249.164667516556,0,0,0,0,0,0,0,0,1
249,The Mad Greek,8.0,10180.242893089984,1,0,0,0,0,0,0,0,0
250,Love Dog Hot Dog Buffet,9.0,6412.943461278292,0,0,0,0,0,0,0,0,1
251,Jo Jo Carloni's Italian Restaurant & Pizzaria,8.0,20438.49959578881,1,1,0,0,0,0,0,0,0
252,Ming's Caffe,8.0,1039.0128108581478,1,1,0,0,0,0,0,0,0
253,Diced,8.0,7088.204051744455,1,1,0,0,0,0,0,0,0
254,BurgerTime,8.0,12635.584129409299,0,0,0,0,0,0,0,0,0
255,AFRO EATS,9.0,1451.195528185413,1,1,0,0,0,0,0,0,0
256,Dig,8.0,6494.585398171631,1,1,1,0,0,0,0,0,0
257,Kilimandjaro Restaurant,8.0,10073.664041841006,1,0,0,0,0,0,0,0,0
258,Ty's Soups and Sandwiches,9.0,2845.269676597373,1,1,0,0,0,0,0,0,0
259,Coyo Taco,8.0,10319.947037567656,1,1,0,0,0,0,0,0,0
260,Shabu Shabu,8.0,2528.3404223050998,1,0,0,0,0,0,0,0,0
261,The Roadside Grill,8.0,7415.750484821827,1,0,0,0,0,0,0,0,1
262,Mary Coin Laundry & Deli,8.0,5071.592061300819,1,0,0,0,0,0,0,0,0
263,Mei Mei Philadelphia,8.0,6319.354776800016,1,1,0,0,0,0,0,0,0
264,Touch Down Wings,10.0,4374.533216639932,1,1,0,0,0,0,0,0,0
265,The Lucky Rooster,8.0,23093.04621700235,1,1,0,0,0,0,0,0,0
266,Lil’ Laos,9.0,14557.44892430916,1,0,0,0,0,0,0,0,0
267,Drake's,7.0,21510.8519780649,1,0,1,0,0,0,0,0,0
268,Papelon con Limon,9.0,5798.459060929455,1,0,0,0,0,0,0,0,0
269,King and I,7.0,1395.202801436942,1,1,0,0,0,0,0,0,0
270,Happy Belly Baker,10.0,5913.330608391511,0,0,0,0,0,0,0,0,0
271,Chimi Internacional,10.0,6003.044128798163,0,0,0,0,0,0,0,0,1
272,Metropolis,8.0,524.0620762233416,1,1,1,0,0,0,0,0,0
273,HoneyHole Sandwiches,8.0,1579.7786563851796,0,1,0,0,0,0,0,0,0
274,Crust By Mack,10.0,3094.314084638523,0,0,0,0,0,0,0,0,0
275,Acme Feed & Seed,8.0,2705.629934915817,1,0,0,0,0,0,0,0,0
276,S Wan Cafe 洋紫荆,9.0,1320.7282951949744,1,0,0,0,0,1,0,0,0
277,Life Alive Organic Cafe,8.0,433.4384081946246,1,1,0,0,0,0,0,0,0
278,Daytime,9.0,5385.310421603577,1,0,0,0,0,0,0,0,0
279,Audrey,8.0,5248.051337981497,0,0,0,0,0,0,0,0,0
280,Foghorn,8.0,6564.104313256042,1,1,0,0,0,0,0,0,0
